runid,date,model,hidden_dim,algorithm,dataset,epochs,time elapsed,record_train_acc,record_test_acc,last_train_acc,last_test_acc,target density/prune,final l1 norm,learning rate,optimizer,momentum,percent zeros,irmv1_gradnorm penalty,irmv1_penalty_anneal_iter,pgd_anneal_iter,orig 28x28,ts,te,fraction z,pgd skip,rho tolerance
0,9/27/2024 16:08,resnet18,390,probmask,mnistcifar,50,45.95442414,0.636900012,0.638000014,0.629500008,0.609000015,0.82421875,20.56739998,0.006,adam,None,0,10000,13,600,FALSE,0.28,0.6,None,None,None
0,9/27/2024 16:07,resnet18,390,probmask,mnistcifar,50,42.95984817,0.648400015,0.647000017,0.638000017,0.585000002,0.82421875,19.74998283,0.006,adam,None,0,10000,13,600,FALSE,0.28,0.6,None,None,None
0,9/27/2024 16:06,resnet18,390,probmask,mnistcifar,50,46.49766779,0.643300023,0.636000011,0.67630003,0.562000011,0.82421875,20.76665115,0.006,adam,None,0,10000,13,600,FALSE,0.28,0.6,None,None,None
0,9/27/2024 16:05,resnet18,390,probmask,mnistcifar,50,42.65724874,0.661300026,0.655000011,0.647500014,0.620000007,0.82421875,21.02272797,0.006,adam,None,0,10000,13,600,FALSE,0.28,0.6,None,None,None
0,9/27/2024 16:04,resnet18,390,probmask,mnistcifar,50,45.47546935,0.652800019,0.601999996,0.605700016,0.592000015,0.82421875,19.71711159,0.006,adam,None,0,10000,13,600,FALSE,0.28,0.6,None,None,None
0,9/27/2024 16:03,resnet18,390,probmask,mnistcifar,50,43.54134345,0.682100034,0.623000008,0.694600025,0.590999996,0.833984375,21.57547188,0.006,adam,None,0,10000,13,600,FALSE,0.28,0.6,None,None,None
0,9/27/2024 16:02,resnet18,390,probmask,mnistcifar,50,45.32919574,0.619600007,0.642999997,0.492300008,0.647999998,0.833984375,20.93560028,0.006,adam,None,0,10000,13,600,FALSE,0.28,0.6,None,None,None
0,9/27/2024 16:01,resnet18,390,probmask,mnistcifar,50,46.25542235,0.625700011,0.634000004,0.600600011,0.552999993,0.833984375,22.71547318,0.006,adam,None,0,10000,13,600,FALSE,0.28,0.6,None,None,None
0,9/27/2024 16:00,resnet18,390,probmask,mnistcifar,50,46.05363965,0.60800001,0.648000007,0.677000032,0.607999998,0.833984375,23.13333702,0.006,adam,None,0,10000,13,600,FALSE,0.28,0.6,None,None,None
0,9/27/2024 15:59,resnet18,390,probmask,mnistcifar,50,46.76154327,0.625500008,0.617999992,0.639300015,0.532000013,0.833984375,20.24653625,0.006,adam,None,0,10000,13,600,FALSE,0.28,0.6,None,None,None
0,9/27/2024 15:58,resnet18,390,probmask,mnistcifar,50,45.92482829,0.636900012,0.637000003,0.500000012,0.499999994,0.833984375,19.86447716,0.006,adam,None,0,10000,13,600,FALSE,0.28,0.6,None,None,None
0,9/27/2024 15:56,resnet18,390,probmask,mnistcifar,50,53.55151796,0.633900011,0.657000007,0.521300014,0.602,0.833984375,20.86931419,0.006,adam,None,0,10000,13,600,FALSE,0.28,0.6,None,None,None
0,9/27/2024 15:55,resnet18,390,probmask,mnistcifar,50,55.78597021,0.644100017,0.624999987,0.550800008,0.563000001,0.833984375,21.46986008,0.006,adam,None,0,10000,13,600,FALSE,0.28,0.6,None,None,None
0,9/27/2024 15:53,resnet18,390,probmask,mnistcifar,50,54.77945375,0.654800022,0.642000012,0.654800022,0.642000012,0.833984375,21.32367325,0.006,adam,None,0,10000,13,600,FALSE,0.28,0.6,None,None,None
0,9/27/2024 15:52,resnet18,390,probmask,mnistcifar,50,46.62213159,0.701900038,0.609999996,0.539400018,0.502000006,0.833984375,22.88811684,0.006,adam,None,0,10000,13,600,FALSE,0.28,0.6,None,None,None
